method,n_clusters,Q,silhouette,stability_mean_ari,stability_sd_ari,stability_unique_partitions
VOSViewer,4,-0.013816334271896765,-0.13927120743285284,,,
Python-Louvain,3,-0.0004347994331782047,-0.06492016220658058,0.7405158198948214,0.16580280256945482,37.0
