metric,n,pearson_r,pearson_ci95_lo,pearson_ci95_hi,pearson_p,spearman_rho,spearman_ci95_lo,spearman_ci95_hi,spearman_p,bonferroni_alpha,pearson_passes_bonferroni,spearman_passes_bonferroni
Occurrences,28,0.9225,0.8378,0.9639,2.955688923981971e-12,0.8337,0.6686,0.9205,3.6049532829437696e-08,0.01,True,True
TLS,28,0.9189,0.8305,0.9621,5.2962425927023505e-12,0.8276,0.6575,0.9174,5.5645520567641327e-08,0.01,True,True
Avg pub year,28,0.7363,0.5007,0.8703,7.960118253944382e-06,0.6015,0.2946,0.796,0.0007094311148880606,0.01,True,True
Avg citations,28,0.7417,0.5097,0.8732,6.277432072330938e-06,0.7219,0.4775,0.8627,1.446644816790248e-05,0.01,True,True
Norm. citations,28,0.7901,0.5914,0.8984,5.710010429981792e-07,0.7854,0.5833,0.896,7.392509334904097e-07,0.01,True,True
