threshold,n_terms,n_edges,density,n_clusters,modularity_Q
50,340,57195,0.992,2,0.0376
75,176,15398,1.0,2,0.0317
100,112,6216,1.0,2,0.0266
150,56,1540,1.0,2,0.0126
200,35,595,1.0,2,0.0042
